Date,PriceOfA,PriceOfB,Position,Quantity,NetBalance,Profit,Loss,CumulProfit,CumulLoss
1988-05-29,85.5,96.609375,Closed,0,10000.0,0.0,0.0,0.0,0.0
1988-05-30,85.5,96.609375,Closed,0,10000.0,0.0,0.0,0.0,0.0
1988-05-31,85.8125,96.703125,Short,-5,10428.5625,429.0625,0.5,0.0,0.0
1988-06-01,87.5312,97.28125,Short,-5,10428.5625,0.0,0.0,429.0625,0.5
1988-06-02,87.25,97.171875,Long,5,9555.0625,0.0,873.5,429.0625,0.5
1988-06-03,88.0938,97.546875,Closed,0,9995.0315,440.469,0.5,429.0625,874.0
1988-06-04,88.0938,97.546875,Closed,0,9995.0315,0.0,0.0,869.5315,874.5
1988-06-05,88.0938,97.546875,Closed,0,9995.0315,0.0,0.0,869.5315,874.5
1988-06-06,88.1875,97.625,Closed,0,9995.0315,0.0,0.0,869.5315,874.5
1988-06-07,87.6875,97.484375,Closed,0,9995.0315,0.0,0.0,869.5315,874.5
1988-06-08,88.625,97.875,Short,-5,10437.6565,443.125,0.5,869.5315,874.5
1988-06-09,88.2812,97.75,Closed,0,9995.750499999998,0.0,441.906,1312.6565,875.0
1988-06-10,88.4062,97.875,Closed,0,9995.750499999998,0.0,0.0,1312.6565,1316.906
1988-06-11,88.4062,97.875,Closed,0,9995.750499999998,0.0,0.0,1312.6565,1316.906
1988-06-12,88.4062,97.875,Closed,0,9995.750499999998,0.0,0.0,1312.6565,1316.906
1988-06-13,88.5938,97.96875,Short,-5,10438.219499999997,442.969,0.5,1312.6565,1316.906
1988-06-14,90.5,98.828125,Short,-5,10438.219499999997,0.0,0.0,1755.6255,1317.406
1988-06-15,90.0312,98.609375,Long,5,9536.907499999998,0.0,901.312,1755.6255,1317.406
1988-06-16,88.75,97.921875,Long,5,9536.907499999998,0.0,0.0,1755.6255,2218.718
1988-06-17,87.5938,97.453125,Long,5,9536.907499999998,0.0,0.0,1755.6255,2218.718
1988-06-18,87.5938,97.453125,Closed,0,9974.376499999997,437.969,0.5,1755.6255,2218.718
1988-06-19,87.5938,97.453125,Closed,0,9974.376499999997,0.0,0.0,2193.5945,2219.218
1988-06-20,87.7188,97.421875,Closed,0,9974.376499999997,0.0,0.0,2193.5945,2219.218
1988-06-21,87.2188,97.28125,Closed,0,9974.376499999997,0.0,0.0,2193.5945,2219.218
1988-06-22,88.0938,97.390625,Closed,0,9974.376499999997,0.0,0.0,2193.5945,2219.218
1988-06-23,88.4375,97.5,Closed,0,9974.376499999997,0.0,0.0,2193.5945,2219.218
1988-06-24,88.5625,97.546875,Closed,0,9974.376499999997,0.0,0.0,2193.5945,2219.218
1988-06-25,88.5625,97.546875,Closed,0,9974.376499999997,0.0,0.0,2193.5945,2219.218
1988-06-26,88.5625,97.546875,Closed,0,9974.376499999997,0.0,0.0,2193.5945,2219.218
1988-06-27,87.625,97.234375,Long,10,9097.126499999997,0.0,877.25,2193.5945,2219.218
1988-06-28,88.4375,97.453125,Long,5,9538.813999999997,442.1875,0.5,2193.5945,3096.468
1988-06-29,88.1562,97.5,Closed,0,9979.094999999998,440.781,0.5,2635.782,3096.968
1988-06-30,88.75,97.71875,Short,-5,10422.344999999998,443.75,0.5,3076.563,3097.468
1988-07-01,88.8438,97.796875,Short,-5,10422.344999999998,0.0,0.0,3520.313,3097.968
1988-07-03,88.8438,97.796875,Closed,0,9977.625999999998,0.0,444.719,3520.313,3097.968
1988-07-04,88.8438,97.796875,Closed,0,9977.625999999998,0.0,0.0,3520.313,3542.687
1988-07-05,88.5,97.625,Long,10,9091.625999999998,0.0,886.0,3520.313,3542.687
